frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
191,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
192,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
193,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
194,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
195,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
196,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
197,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
198,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
199,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
200,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
201,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
202,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
203,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
204,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
205,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
206,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
207,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
208,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
209,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
210,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
211,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
212,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
213,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
214,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
215,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
216,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
217,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
218,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
219,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
220,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
221,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
222,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
223,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
224,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
225,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
226,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
227,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
228,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
229,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
230,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
231,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
232,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
233,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
234,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
235,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
236,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
237,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
238,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
239,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
240,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
241,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
242,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
243,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
244,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
245,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
246,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
247,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
248,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
249,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
250,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
251,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
252,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
253,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
254,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
255,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
256,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
257,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
258,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
259,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
260,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
261,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
